,Source,Number,Title,Artist,Genre,Subgenre/Style,Year,Clip name
112,4,283,Pressure Drop,Toots & The Maytals,9.0,Raggae,1969.0,0283_toots&TheMaytals_pressureDrop.mp4
113,4,285,Zombie,Fela Kuti,9.0,Afrobeat,1976.0,0285_felaKuti_zombie.mp4
114,4,287,Pata Pata,Miriam Makeba,9.0,African Pop,1989.0,0287_miriamMakeba_pataPata.mp4
115,4,289,Arirang,Trot,9.0,Trot,1964.0,0289_arirang_trot.mp4
116,4,290,Hanaichimonme,Happy End,9.0,Japanese Folk Rock,1971.0,0290_happyEnd_hanaichimonme.mp4
117,4,294,Aap Jaisa Koi,Nazia Hassan,9.0,Filmi,1980.0,0294_naziaHassan_aapJaisaKoi.mp4
118,4,295,Abart Al Shat,Kathem Al-Saher,9.0,Arab Pop,1988.0,0295_kathemAl-Saher_abartAlShat.mp4
119,4,296,Haperach Begani (The Flower in My Garden),Zohar Argov,9.0,Mizrahi,1982.0,0296_zoharArgov_haperachBeganiTheFlowerInMyGarden.mp4
120,4,298,Mado,Émilie Vacher,9.0,Bal-Musette,1931.0,0298_emilieVacher_mado.mp4
121,4,299,I Riden Så,Gjallarhorn,9.0,Scandinavian Folk,1997.0,0299_gjallarhorn_iRidenSa.mp4
122,4,300,Kalinka-Malinka,Ivan Larionov,9.0,Russian Traditional,1860.0,0300_ivanLarionov_kalinkaMalinka.mp4
123,4,301,Sound of Wind,Inuit Throat And Harp Songs,9.0,Inuit Throat Singing,,0301_soundOfWind_inuitThroatAndHarpSongs.mp4
124,4,302,Hava Nagila,Abraham Zevi Idelsohn,9.0,Israeli Folk,1915.0,0302_havaNagila_abrahamZeviIdelsohn.mp4
125,4,303,Song With Didgeridoo,Australian Aboriginal People,9.0,Australian Aboriginal,,0303_songWithDigeridoo_austrialianAboriginalPeople.mp4
126,4,305,Maori Haka,New Zealand Maori Warrior Chant,9.0,New Zealand Maori Warrior Chant,,0305_KaMate(Haka)_NewZealandMaoriWarriorChant.mp4
127,4,306,Star Wars Theme,John Williams,9.0,Soundtrack,1992.0,0306_starWarsTheme_johnWilliams.mp4
128,4,307,Harry Potter Theme (Hedwig's Theme),John Williams,9.0,Soundtrack,2001.0,0307_harryPotterHedwigsTheme_johnWilliams.mp4
129,4,308,Lord of the Rings Theme,Howard Shore,9.0,Soundtrack,2000.0,0308_lordOfTheRings_howardShore.mp4
130,4,309,James Bond Theme,Monty Norman,9.0,Soundtrack,1962.0,0309_jamesBondTheme_montyNorman.mp4
131,4,311,Under the Sea,Samuel E Wright,9.0,Soundtrack,1989.0,0311_underTheSea_samuelEWright.mp4
132,4,312,20th Century Fox (Fanfare),Alfred Newman,9.0,Soundtrack,1933.0,0312_twentiethCenturyFoxFanfare_alfredNewman.mp4
133,4,313,Game of Thrones Theme,Ramin Djawadi,9.0,TV,2011.0,0313_gameOfThronesOpening_raminDjawadi.mp4
134,4,314,Seinfeld Theme,Jonathan Wolff,9.0,TV,1989.0,0314_seinfeldTheme_jonathanWolff.mp4
135,4,315,Happy Days Theme,Norman Gimbel and Charles Fox,9.0,TV,1976.0,0315_happyDaysTheme_normalGimbelAndCharlesFox.mp4
136,4,316,Law and Order Theme,Mike Post,9.0,TV,1994.0,0316_lawAndOrderTheme_mikePost.mp4
137,4,317,Star Trek Original Series Theme,Alexander Courage,9.0,TV,1969.0,0317_starTrekTheme_alexandarCourage.mp4
138,4,318,Super Mario Bros World 1-1,Koji Kondo,9.0,Video Game,1985.0,0318_superMarioTheme_kojiKondo.mp4
